duration,domain_age,updates,update_time,dnssec,registrar,nameservers,rank_score,page_rank,label
22.001368925393567,21.678302532511978,1,0.36960985626283366,0,0,2,4.14,700981,0
19.789185489390828,19.526351813826146,1,0.6926762491444216,-1,0,1,3.11,3592620,0
14.76249144421629,13.853524982888432,1,0.08761122518822724,-1,0,4,2.23,16581929,0
0.999315537303217,0.2299794661190965,1,0.2135523613963039,0,0,2,-1.0,-1,1
-1.0,-1.0,-1,-1.0,-1,0,0,8.7,22,1
15.000684462696784,14.94318959616701,1,1.9520876112251881,0,1,2,2.81,5769333,0
30.99520876112252,27.581108829568787,2,0.7008898015058179,0,4,4,10.0,4,1
25.998631074606433,24.8870636550308,1,0.0027378507871321013,0,0,4,4.09,839887,0
30.99520876112252,27.581108829568787,2,0.7008898015058179,0,4,4,10.0,4,1
16.999315537303218,16.05201916495551,2,0.06297056810403832,0,0,6,4.52,92459,0
-1.0,-1.0,-1,-1.0,-1,0,0,2.12,20537783,1
12.999315537303216,12.763860369609857,1,0.8569472963723477,0,0,4,4.56,78903,0
12.0,11.206023271731691,1,0.24093086926762491,0,0,4,0.86,89294577,0
25.04312114989733,24.15879534565366,1,0.11498973305954825,-1,0,2,3.41,2032878,0
29.39082819986311,29.097878165639973,-1,-1.0,-1,0,0,4.22,382210,0
22.99794661190965,22.45037645448323,2,0.5366187542778919,0,4,8,10.0,8,1
8.0,7.975359342915811,2,0.971937029431896,0,0,4,0.2,135736075,0
25.998631074606433,24.854209445585216,1,1.9876796714579055,0,1,2,4.17,551080,0
-1.0,-1.0,1,0.038329911019849415,-1,0,2,4.85,22932,0
16.999315537303218,14.491444216290212,1,0.4928131416837782,0,0,2,1.39,58542149,0
30.99520876112252,27.581108829568787,2,0.7008898015058179,0,4,4,10.0,4,1
26.001368925393567,25.894592744695416,1,0.9801505817932923,0,0,4,2.9,5096076,0
15.052703627652292,14.844626967830253,1,0.30937713894592744,-1,0,4,3.77,1418041,0
8.0,6.313483915126626,1,0.783025325119781,0,0,3,0.17,136405597,0
-1.0,-1.0,-1,-1.0,-1,0,0,4.22,378037,1
20.999315537303218,20.39151266255989,2,0.4517453798767967,1,0,2,3.42,2023391,0
8.999315537303216,7.926078028747433,2,0.09856262833675565,0,0,2,0.58,111955685,1
-1.0,-1.0,-1,-1.0,-1,0,0,4.2,420241,1
16.996577686516083,15.939767282683095,-1,-1.0,-1,0,1,3.18,3294220,0
24.999315537303218,24.251882272416154,1,2.3353867214236823,0,0,2,4.04,1077567,0
4.999315537303217,4.314852840520191,2,0.4079397672826831,0,0,4,3.16,3331538,1
-1.0,-1.0,-1,-1.0,-1,0,0,4.2,420241,1
8.999315537303216,8.952772073921972,2,0.9336071184120466,0,0,4,3.05,3961269,0
